,hh_village_code,hh_reserve_section,n,Question,Value,survey,topic
204,17,FORET CLASSEE,62,People who use interceptor,NA,test,Mosquito Nets
205,18,FORET CLASSEE,48,Do you have a mosquito net?,48,test,Mosquito Nets
206,18,FORET CLASSEE,48,Do you own a net to scare mosquitos?,48,test,Mosquito Nets
207,18,FORET CLASSEE,48,Do you own a net to fish?,2,test,Mosquito Nets
208,18,FORET CLASSEE,48,Do you own a net to catch poultry?,0,test,Mosquito Nets
209,18,FORET CLASSEE,48,Do you own a net for other reasons?,0,test,Mosquito Nets
210,18,FORET CLASSEE,48,Do you avoid mosquitos with other ways?,0,test,Mosquito Nets
211,18,FORET CLASSEE,48,Do you use spray to avoid mosquitos?,0,test,Mosquito Nets
212,18,FORET CLASSEE,48,Do you remove puddles to avoid mosquitos?,0,test,Mosquito Nets
213,18,FORET CLASSEE,48,Do you remove mosquito bushes to avoid mosquitos?,0,test,Mosquito Nets
214,18,FORET CLASSEE,48,Do you use repellent to avoid mosquitos?,0,test,Mosquito Nets
215,18,FORET CLASSEE,48,Do you use a mosquito net when you sleep?,44,test,Mosquito Nets
216,18,FORET CLASSEE,48,How many mosquito nets do you have?,2.208333333,test,Mosquito Nets
217,18,FORET CLASSEE,48,People who have not responded to where they got their nets,48,test,Mosquito Nets
218,18,FORET CLASSEE,48,People who got their nets from a street/shop/market,NA,test,Mosquito Nets
219,18,FORET CLASSEE,48,People who got their net from a community officer,NA,test,Mosquito Nets
220,18,FORET CLASSEE,48,People who dont know where they got their nets,NA,test,Mosquito Nets
221,18,FORET CLASSEE,48,People who got their net from a public health center,NA,test,Mosquito Nets
222,18,FORET CLASSEE,48,People who got their net from other places,NA,test,Mosquito Nets
223,18,FORET CLASSEE,48,People who got their net from a private health center,NA,test,Mosquito Nets
224,18,FORET CLASSEE,48,People who got their net through an MID campaign,48,test,Mosquito Nets
225,18,FORET CLASSEE,48,People who did not get a net,NA,test,Mosquito Nets
226,18,FORET CLASSEE,48,People who got a net through CPN,NA,test,Mosquito Nets
227,18,FORET CLASSEE,48,People who got a net through a vaccination visit,NA,test,Mosquito Nets
228,18,FORET CLASSEE,48,People who dont know where they got their net,NA,test,Mosquito Nets
229,18,FORET CLASSEE,48,People who use Permanet brand,46,test,Mosquito Nets
230,18,FORET CLASSEE,48,People who use other brands,2,test,Mosquito Nets
231,18,FORET CLASSEE,48,People who use Yorkool,NA,test,Mosquito Nets
232,18,FORET CLASSEE,48,People who use Super Moustiquaire,NA,test,Mosquito Nets
233,18,FORET CLASSEE,48,People who use Tsaralay,NA,test,Mosquito Nets
234,18,FORET CLASSEE,48,People who dont know what brand they use,NA,test,Mosquito Nets
235,18,FORET CLASSEE,48,People who use Royal Sentry,NA,test,Mosquito Nets
236,18,FORET CLASSEE,48,People who use Olyset,NA,test,Mosquito Nets
237,18,FORET CLASSEE,48,People who use Bestnet,NA,test,Mosquito Nets
238,18,FORET CLASSEE,48,People who use interceptor,NA,test,Mosquito Nets
239,19,FORET CLASSEE,8,Do you have a mosquito net?,8,test,Mosquito Nets
240,19,FORET CLASSEE,8,Do you own a net to scare mosquitos?,8,test,Mosquito Nets
241,19,FORET CLASSEE,8,Do you own a net to fish?,0,test,Mosquito Nets
242,19,FORET CLASSEE,8,Do you own a net to catch poultry?,0,test,Mosquito Nets
243,19,FORET CLASSEE,8,Do you own a net for other reasons?,0,test,Mosquito Nets
244,19,FORET CLASSEE,8,Do you avoid mosquitos with other ways?,0,test,Mosquito Nets
245,19,FORET CLASSEE,8,Do you use spray to avoid mosquitos?,0,test,Mosquito Nets
246,19,FORET CLASSEE,8,Do you remove puddles to avoid mosquitos?,0,test,Mosquito Nets
247,19,FORET CLASSEE,8,Do you remove mosquito bushes to avoid mosquitos?,0,test,Mosquito Nets
248,19,FORET CLASSEE,8,Do you use repellent to avoid mosquitos?,0,test,Mosquito Nets
249,19,FORET CLASSEE,8,Do you use a mosquito net when you sleep?,6,test,Mosquito Nets
250,19,FORET CLASSEE,8,How many mosquito nets do you have?,1.5,test,Mosquito Nets
251,19,FORET CLASSEE,8,People who have not responded to where they got their nets,8,test,Mosquito Nets
252,19,FORET CLASSEE,8,People who got their nets from a street/shop/market,NA,test,Mosquito Nets
253,19,FORET CLASSEE,8,People who got their net from a community officer,NA,test,Mosquito Nets
254,19,FORET CLASSEE,8,People who dont know where they got their nets,NA,test,Mosquito Nets
255,19,FORET CLASSEE,8,People who got their net from a public health center,NA,test,Mosquito Nets
256,19,FORET CLASSEE,8,People who got their net from other places,NA,test,Mosquito Nets
257,19,FORET CLASSEE,8,People who got their net from a private health center,NA,test,Mosquito Nets
258,19,FORET CLASSEE,8,People who got their net through an MID campaign,7,test,Mosquito Nets
259,19,FORET CLASSEE,8,People who did not get a net,NA,test,Mosquito Nets
260,19,FORET CLASSEE,8,People who got a net through CPN,1,test,Mosquito Nets
261,19,FORET CLASSEE,8,People who got a net through a vaccination visit,NA,test,Mosquito Nets
262,19,FORET CLASSEE,8,People who dont know where they got their net,NA,test,Mosquito Nets
263,19,FORET CLASSEE,8,People who use Permanet brand,4,test,Mosquito Nets
264,19,FORET CLASSEE,8,People who use other brands,NA,test,Mosquito Nets
265,19,FORET CLASSEE,8,People who use Yorkool,4,test,Mosquito Nets
266,19,FORET CLASSEE,8,People who use Super Moustiquaire,NA,test,Mosquito Nets
267,19,FORET CLASSEE,8,People who use Tsaralay,NA,test,Mosquito Nets
268,19,FORET CLASSEE,8,People who dont know what brand they use,NA,test,Mosquito Nets
269,19,FORET CLASSEE,8,People who use Royal Sentry,NA,test,Mosquito Nets
270,19,FORET CLASSEE,8,People who use Olyset,NA,test,Mosquito Nets
271,19,FORET CLASSEE,8,People who use Bestnet,NA,test,Mosquito Nets
272,19,FORET CLASSEE,8,People who use interceptor,NA,test,Mosquito Nets
273,2,PARCELLE I,40,Do you have a mosquito net?,40,test,Mosquito Nets
274,2,PARCELLE I,40,Do you own a net to scare mosquitos?,38,test,Mosquito Nets
275,2,PARCELLE I,40,Do you own a net to fish?,1,test,Mosquito Nets
276,2,PARCELLE I,40,Do you own a net to catch poultry?,1,test,Mosquito Nets
277,2,PARCELLE I,40,Do you own a net for other reasons?,2,test,Mosquito Nets
278,2,PARCELLE I,40,Do you avoid mosquitos with other ways?,2,test,Mosquito Nets
279,2,PARCELLE I,40,Do you use spray to avoid mosquitos?,0,test,Mosquito Nets
280,2,PARCELLE I,40,Do you remove puddles to avoid mosquitos?,0,test,Mosquito Nets
281,2,PARCELLE I,40,Do you remove mosquito bushes to avoid mosquitos?,0,test,Mosquito Nets
282,2,PARCELLE I,40,Do you use repellent to avoid mosquitos?,0,test,Mosquito Nets
283,2,PARCELLE I,40,Do you use a mosquito net when you sleep?,35,test,Mosquito Nets
284,2,PARCELLE I,40,How many mosquito nets do you have?,3.3,test,Mosquito Nets
285,2,PARCELLE I,40,People who have not responded to where they got their nets,38,test,Mosquito Nets
286,2,PARCELLE I,40,People who got their nets from a street/shop/market,1,test,Mosquito Nets
287,2,PARCELLE I,40,People who got their net from a community officer,NA,test,Mosquito Nets
288,2,PARCELLE I,40,People who dont know where they got their nets,NA,test,Mosquito Nets
289,2,PARCELLE I,40,People who got their net from a public health center,NA,test,Mosquito Nets
290,2,PARCELLE I,40,People who got their net from other places,1,test,Mosquito Nets
291,2,PARCELLE I,40,People who got their net from a private health center,NA,test,Mosquito Nets
292,2,PARCELLE I,40,People who got their net through an MID campaign,37,test,Mosquito Nets
293,2,PARCELLE I,40,People who did not get a net,2,test,Mosquito Nets
294,2,PARCELLE I,40,People who got a net through CPN,1,test,Mosquito Nets
295,2,PARCELLE I,40,People who got a net through a vaccination visit,NA,test,Mosquito Nets
296,2,PARCELLE I,40,People who dont know where they got their net,NA,test,Mosquito Nets
297,2,PARCELLE I,40,People who use Permanet brand,35,test,Mosquito Nets
298,2,PARCELLE I,40,People who use other brands,NA,test,Mosquito Nets
299,2,PARCELLE I,40,People who use Yorkool,NA,test,Mosquito Nets
300,2,PARCELLE I,40,People who use Super Moustiquaire,NA,test,Mosquito Nets
301,2,PARCELLE I,40,People who use Tsaralay,NA,test,Mosquito Nets
302,2,PARCELLE I,40,People who dont know what brand they use,3,test,Mosquito Nets
303,2,PARCELLE I,40,People who use Royal Sentry,NA,test,Mosquito Nets
304,2,PARCELLE I,40,People who use Olyset,2,test,Mosquito Nets
305,2,PARCELLE I,40,People who use Bestnet,NA,test,Mosquito Nets
306,2,PARCELLE I,40,People who use interceptor,NA,test,Mosquito Nets
307,20,FORET CLASSEE,33,Do you have a mosquito net?,33,test,Mosquito Nets
308,20,FORET CLASSEE,33,Do you own a net to scare mosquitos?,33,test,Mosquito Nets
309,20,FORET CLASSEE,33,Do you own a net to fish?,0,test,Mosquito Nets
310,20,FORET CLASSEE,33,Do you own a net to catch poultry?,0,test,Mosquito Nets
311,20,FORET CLASSEE,33,Do you own a net for other reasons?,0,test,Mosquito Nets
312,20,FORET CLASSEE,33,Do you avoid mosquitos with other ways?,1,test,Mosquito Nets
313,20,FORET CLASSEE,33,Do you use spray to avoid mosquitos?,0,test,Mosquito Nets
314,20,FORET CLASSEE,33,Do you remove puddles to avoid mosquitos?,0,test,Mosquito Nets
315,20,FORET CLASSEE,33,Do you remove mosquito bushes to avoid mosquitos?,0,test,Mosquito Nets
316,20,FORET CLASSEE,33,Do you use repellent to avoid mosquitos?,0,test,Mosquito Nets
317,20,FORET CLASSEE,33,Do you use a mosquito net when you sleep?,29,test,Mosquito Nets
318,20,FORET CLASSEE,33,How many mosquito nets do you have?,2.090909091,test,Mosquito Nets
319,20,FORET CLASSEE,33,People who have not responded to where they got their nets,31,test,Mosquito Nets
320,20,FORET CLASSEE,33,People who got their nets from a street/shop/market,2,test,Mosquito Nets
321,20,FORET CLASSEE,33,People who got their net from a community officer,NA,test,Mosquito Nets
322,20,FORET CLASSEE,33,People who dont know where they got their nets,NA,test,Mosquito Nets
323,20,FORET CLASSEE,33,People who got their net from a public health center,NA,test,Mosquito Nets
324,20,FORET CLASSEE,33,People who got their net from other places,NA,test,Mosquito Nets
325,20,FORET CLASSEE,33,People who got their net from a private health center,NA,test,Mosquito Nets
326,20,FORET CLASSEE,33,People who got their net through an MID campaign,31,test,Mosquito Nets
327,20,FORET CLASSEE,33,People who did not get a net,2,test,Mosquito Nets
328,20,FORET CLASSEE,33,People who got a net through CPN,NA,test,Mosquito Nets
329,20,FORET CLASSEE,33,People who got a net through a vaccination visit,NA,test,Mosquito Nets
330,20,FORET CLASSEE,33,People who dont know where they got their net,NA,test,Mosquito Nets
331,20,FORET CLASSEE,33,People who use Permanet brand,31,test,Mosquito Nets
332,20,FORET CLASSEE,33,People who use other brands,NA,test,Mosquito Nets
333,20,FORET CLASSEE,33,People who use Yorkool,NA,test,Mosquito Nets
334,20,FORET CLASSEE,33,People who use Super Moustiquaire,1,test,Mosquito Nets
